iter	RMSE
0	0.3718200078
1	0.369143914
2	0.3669138389
3	0.3649602476
4	0.3633544531
5	0.3620194658
6	0.3609443053
7	0.3600117477
8	0.3592050558
9	0.3585526271
10	0.357944503
11	0.3575097323
12	0.357054228
13	0.3567202779
14	0.3563936698
15	0.3561400705
16	0.3559127709
17	0.3557221198
18	0.3555621126
19	0.3554111473
20	0.3552830067
21	0.3551248202
22	0.3549900935
23	0.3548801439
24	0.3547767202
25	0.3546834777
26	0.3545986544
27	0.3545245719
28	0.3544500569
29	0.354380284
30	0.3543036871
31	0.3542529366
32	0.3541861196
33	0.3541379631
34	0.354102342
35	0.3540481799
36	0.3540107469
37	0.3539617984
38	0.3539317034
39	0.353899963
40	0.3538605374
41	0.3538287607
42	0.3537941201
43	0.3537601852
44	0.353724235
45	0.3536940193
46	0.3536604726
47	0.3536354975
48	0.3536073675
49	0.353583486
50	0.3535582897
51	0.3535258988
52	0.353500087
53	0.3534841665
54	0.3534580078
55	0.353437873
56	0.3534187794
57	0.353388551
58	0.3533604088
59	0.3533377329
60	0.3533188992
61	0.3533103148
62	0.3532975165
63	0.353277747
64	0.3532681424
65	0.3532465473
66	0.3532332965
67	0.3532186789
68	0.3532065008
69	0.3531841675
70	0.3531671837
71	0.3531534775
72	0.3531366155
73	0.3531287076
74	0.3531110518
75	0.3530990951
76	0.3530861245
77	0.3530728379
78	0.3530575099
79	0.3530415742
80	0.3530276287
81	0.353014798
82	0.3529967297
83	0.3529830798
84	0.352969794
85	0.3529546557
86	0.3529445599
87	0.3529315247
88	0.3529179506
89	0.3529058693
90	0.3528966351
91	0.3528783986
92	0.3528681159
93	0.3528606757
94	0.3528457264
95	0.352837588
96	0.3528226395
97	0.3528187174
98	0.3528150436
99	0.3528110589
100	0.3528055906
101	0.3528019745
102	0.3527906417
103	0.3527804101
104	0.3527737325
105	0.3527685144
106	0.3527563159
107	0.3527485532
108	0.3527397381
109	0.3527297216
110	0.3527200873
111	0.3527128544
112	0.3526959221
113	0.3526850485
114	0.3526732773
115	0.3526638581
116	0.3526547649
117	0.3526464494
118	0.352635126
119	0.3526318983
120	0.352624722
121	0.3526219898
122	0.352616601
123	0.3526066047
124	0.3526027515
125	0.3525917779
126	0.3525827178
127	0.3525716628
128	0.3525657444
129	0.3525555616
130	0.3525493639
131	0.3525366902
132	0.3525329623
133	0.3525245088
134	0.3525171004
135	0.3525064688
136	0.3524986081
137	0.3524906971
138	0.3524799904
139	0.3524748643
140	0.352471955
141	0.3524598548
142	0.3524488545
143	0.3524414731
144	0.3524387051
145	0.3524312319
146	0.3524206252
147	0.3524156561
148	0.3524066725
149	0.3524025557
150	0.3523961864
151	0.3523894917
152	0.352379873
153	0.3523698316
154	0.3523592345
155	0.3523563761
156	0.3523539263
157	0.3523454108
158	0.3523380595
159	0.3523299701
160	0.3523224514
161	0.3523149982
162	0.352308872
163	0.3523050753
164	0.3522994799
165	0.3522895403
166	0.3522811627
167	0.3522746197
168	0.3522703323
169	0.3522662486
170	0.3522595339
171	0.3522531213
172	0.3522421765
173	0.3522361859
174	0.3522302587
175	0.3522214886
176	0.3522190925
177	0.3522101207
178	0.3522062714
179	0.3522044108
180	0.3521967324
181	0.352191809
182	0.3521849927
183	0.3521750411
184	0.3521709035
185	0.3521618901
186	0.3521597991
187	0.3521548999
188	0.352153005
189	0.3521469114
190	0.3521449213
191	0.3521436554
192	0.3521336137
193	0.3521275385
194	0.352124025
195	0.3521165049
196	0.3521130973
197	0.3521092717
198	0.3521056942
199	0.3521043476
200	0.3521028589
201	0.3520991219
202	0.3520945895
203	0.3520844185
204	0.3520813761
205	0.3520777081
206	0.3520697605
207	0.3520651579
208	0.3520613393
209	0.3520516221
210	0.3520481734
211	0.3520457928
212	0.3520374866
213	0.3520338027
214	0.3520254138
215	0.3520241125
216	0.3520225107
217	0.352018554
218	0.3520157004
219	0.3520124981
220	0.3520115596
221	0.352009014
222	0.3520064113
223	0.3520004373
224	0.3519948909
225	0.35198964
226	0.3519858388
227	0.351981122
228	0.3519762919
229	0.3519746446
230	0.3519699595
231	0.3519656979
232	0.3519607219
233	0.351958722
234	0.3519563409
235	0.3519535079
236	0.3519481464
237	0.3519454571
238	0.3519380903
239	0.3519374867
240	0.3519335687
241	0.3519324352
242	0.3519289977
243	0.3519261067
244	0.3519200931
245	0.3519179509
246	0.3519150639
247	0.3519104188
248	0.3519089058
249	0.3519054349
250	0.3519020563
251	0.3518986455
252	0.3518968205
253	0.3518945782
254	0.3518945568
255	0.3518913994
256	0.3518858958
257	0.3518779834
258	0.3518757227
259	0.3518706237
260	0.3518685858
261	0.3518625232
262	0.3518600265
263	0.3518516157
264	0.3518454749
265	0.3518421725
266	0.3518395035
267	0.3518365213
268	0.3518275901
269	0.3518263772
270	0.3518251674
271	0.3518157438
272	0.3518105393
273	0.3518080063
274	0.3518072024
275	0.3518054902
276	0.3518049994
277	0.3518040138
278	0.3518018696
279	0.3517982213
280	0.3517951644
281	0.3517925914
282	0.3517904053
283	0.3517869485
284	0.3517775792
285	0.3517761339
286	0.3517738795
287	0.3517703222
288	0.3517694818
289	0.3517646445
290	0.3517621963
291	0.3517621961
292	0.3517606567
293	0.3517585364
294	0.3517555453
295	0.3517493093
296	0.3517462041
297	0.3517440121
298	0.3517406997
299	0.351735857
300	0.3517320564
301	0.3517296324
302	0.3517216196
303	0.3517181409
304	0.351713999
305	0.3517114795
306	0.3517103375
307	0.3517029994
308	0.3516971865
309	0.3516952853
310	0.3516897791
311	0.3516867811
312	0.3516825873
313	0.3516784698
314	0.3516745064
315	0.3516708718
316	0.3516680225
317	0.3516656312
318	0.3516629583
319	0.3516615991
320	0.3516600651
321	0.3516527351
322	0.3516499711
323	0.3516473729
324	0.3516435969
325	0.3516412287
326	0.3516384067
327	0.3516368617
328	0.3516306041
329	0.3516256232
330	0.3516237349
331	0.3516191165
332	0.3516177491
333	0.351617294
334	0.3516156314
335	0.3516150026
336	0.3516116082
337	0.3516091136
338	0.3516070069
339	0.3516044502
340	0.3516031829
341	0.3516001696
342	0.3515977341
343	0.3515953945
344	0.3515943082
345	0.3515892749
346	0.3515881762
347	0.3515855292
348	0.3515793925
349	0.3515751593
350	0.3515702327
351	0.3515686869
352	0.3515672326
353	0.3515658003
354	0.3515651408
355	0.3515637406
356	0.3515617555
357	0.3515597021
358	0.351557918
359	0.3515567105
360	0.3515563989
361	0.3515550214
362	0.351553303
363	0.3515526509
364	0.3515491489
365	0.3515453271
366	0.3515430609
367	0.3515396057
368	0.3515385425
369	0.3515342441
370	0.3515305643
371	0.3515266495
372	0.3515243056
373	0.3515185303
374	0.3515172082
375	0.3515153631
376	0.3515109707
377	0.3515053699
378	0.3515034005
379	0.3515020695
380	0.3514995849
381	0.3514962695
382	0.3514946559
383	0.3514897022
384	0.3514833702
385	0.3514801264
386	0.3514789908
387	0.351475894
388	0.3514696565
