iter	Passed	Remaining
0	490	244668
1	894	222646
2	1358	225031
3	1765	218955
4	2183	216173
5	2558	210665
6	3026	213133
7	3510	215902
8	3930	214437
9	4341	212756
10	4737	210608
11	5232	212806
12	5549	207886
13	6029	209298
14	6473	209309
15	6956	210429
16	7341	208573
17	7746	207445
18	8143	206160
19	8539	204943
20	8900	203021
21	9291	201880
22	9711	201404
23	10319	204676
24	10858	206304
25	11373	207356
26	11951	209377
27	12423	209420
28	12971	210675
29	13551	212309
30	14167	214344
31	14679	214694
32	15242	215709
33	15654	214563
34	16225	215561
35	16754	215948
36	17221	215499
37	17939	218104
38	18423	217771
39	18879	217118
40	19410	217298
41	19875	216736
42	20344	216217
43	20895	216548
44	21321	215581
45	21944	216585
46	22595	217779
47	23077	217317
48	23479	216110
49	23956	215607
50	24398	214802
51	24789	213572
52	25310	213463
53	25746	212649
54	26219	212142
55	26771	212256
56	27303	212203
57	27714	211207
58	28510	213102
59	28924	212113
60	29351	211236
61	29862	210962
62	30312	210259
63	30696	209118
64	31311	209546
65	32007	210474
66	32390	209327
67	32732	207945
68	33149	207066
69	33830	207813
70	34702	209682
71	35108	208700
72	35665	208620
73	36011	207312
74	36541	207067
75	37049	206697
76	37491	205961
77	38149	206399
78	38797	206756
79	39248	206053
80	39717	205452
81	40265	205255
82	40885	205414
83	41361	204837
84	41862	204389
85	42566	204913
86	43072	204468
87	43559	203937
88	44015	203263
89	44583	203104
90	45155	202950
91	45946	203762
92	46627	204059
93	47102	203443
94	47651	203145
95	48082	202348
96	48578	201827
97	48978	200912
98	49423	200188
99	50102	200409
100	50651	200099
101	51103	199404
102	51581	198815
103	52199	198759
104	52715	198309
105	53131	197490
106	53742	197389
107	54261	196949
108	54764	196450
109	55290	196029
110	55728	195302
111	56334	195157
112	57162	195767
113	57714	195419
114	58300	195178
115	58737	194442
116	59510	194806
117	60124	194640
118	60621	194091
119	61037	193286
120	61554	192803
121	62005	192114
122	62426	191339
123	62968	190937
124	63468	190405
125	64016	190017
126	64587	189692
127	65322	189842
128	65964	189712
129	66609	189579
130	67144	189132
131	67690	188713
132	68391	188720
133	68903	188199
134	69389	187607
135	69937	187184
136	70507	186818
137	70985	186209
138	71504	185706
139	72002	185148
140	72509	184616
141	73294	184784
142	73734	184077
143	74172	183370
144	74637	182733
145	75130	182166
146	76023	182560
147	76617	182225
148	77285	182062
149	77770	181464
150	78263	180886
151	78563	179868
152	79255	179749
153	79836	179373
154	80633	179475
155	81030	178683
